date,value
11/14/2020,54109207
11/15/2020,54585286
11/16/2020,55115528
11/17/2020,55725888
11/18/2020,56352995
11/19/2020,57007486
11/20/2020,57680108
11/21/2020,58267771
11/22/2020,58754583
11/23/2020,59290482
11/24/2020,59882214
11/25/2020,60513417
11/26/2020,61104192
11/27/2020,61796873
11/28/2020,62398032
11/29/2020,62881397
11/30/2020,63389491
12/1/2020,64012334
12/2/2020,64658414
12/3/2020,65350341
12/4/2020,66038302
12/5/2020,66686714
12/6/2020,67222958
12/7/2020,67751632
12/8/2020,68394260
12/9/2020,69066777
12/10/2020,70569697
12/11/2020,71276552
12/12/2020,71917135
12/13/2020,72452477
12/14/2020,72997555
12/15/2020,73656563
12/16/2020,74380025
12/17/2020,75122162
12/18/2020,75845561
12/19/2020,76464214
12/20/2020,77003745
12/21/2020,77557768
12/22/2020,78222733
12/23/2020,78914582
12/24/2020,79603177
12/25/2020,80093670
12/26/2020,80609555
12/27/2020,81022842
12/28/2020,81523592
12/29/2020,82194769
12/30/2020,82931339
12/31/2020,83760418
1/1/2021,84333017
1/2/2021,84924171
1/3/2021,85445583
1/4/2021,86004718
1/5/2021,86748747
1/6/2021,87542560
1/7/2021,88434854
1/8/2021,89260402
1/9/2021,90015895
1/10/2021,90605567
1/11/2021,91219685
1/12/2021,91923174
1/13/2021,92672993
1/14/2021,93430009
1/15/2021,94204117
1/16/2021,94855909
1/17/2021,95385340
1/18/2021,95905391
1/19/2021,96495304
1/20/2021,97196135
1/21/2021,97852467
1/22/2021,98517058
1/23/2021,99091038
1/24/2021,99553665
1/25/2021,100034987
1/26/2021,100597296
1/27/2021,101201563
1/28/2021,101812206
1/29/2021,102403865
1/30/2021,102924041
1/31/2021,103312102
2/1/2021,103755575
2/2/2021,104222012
2/3/2021,104748290
2/4/2021,105219426
2/5/2021,105755267
2/6/2021,106189028
2/7/2021,106542031
2/8/2021,106882287
2/9/2021,107288985
2/10/2021,107729690
2/11/2021,108173247
2/12/2021,108603675
2/13/2021,108983743
2/14/2021,109292011
2/15/2021,109573237
2/16/2021,109933857
2/17/2021,110320820
2/18/2021,110730951
2/19/2021,111141243
2/20/2021,111514873
2/21/2021,111833412
2/22/2021,112128997
2/23/2021,112522805
2/24/2021,112969553
2/25/2021,113422395
2/26/2021,113864674
2/27/2021,114260736
2/28/2021,114568975
3/1/2021,114874467
3/2/2021,115188483
3/3/2021,115633494
3/4/2021,116090918
3/5/2021,116539401
3/6/2021,116953239
3/7/2021,117326829
3/8/2021,117630533
3/9/2021,118046363
3/10/2021,118516809
3/11/2021,118996685
3/12/2021,119486306
3/13/2021,119939346
3/14/2021,120303048
3/15/2021,120658609
3/16/2021,121127331
3/17/2021,121677744
3/18/2021,122223643
3/19/2021,122785272
3/20/2021,123281942
3/21/2021,123718188
3/22/2021,124140826
3/23/2021,124659358
3/24/2021,125296041
3/25/2021,125947774
3/26/2021,126585590
3/27/2021,127168315
3/28/2021,127645492
3/29/2021,128106947
3/30/2021,128680166
3/31/2021,129361686
4/1/2021,130070264
4/2/2021,130708009
4/3/2021,131234060
4/4/2021,131793064
4/5/2021,132287934
4/6/2021,132892836
4/7/2021,133575644
4/8/2021,134418576
4/9/2021,135164390
4/10/2021,135827632
4/11/2021,136522252
4/12/2021,137136787
4/13/2021,137921133
4/14/2021,138737925
4/15/2021,139553269
4/16/2021,140410270
4/17/2021,141200444
4/18/2021,141883023
4/19/2021,142578760
4/20/2021,143437605
4/21/2021,144324058
4/22/2021,145225895
4/23/2021,146131285
4/24/2021,146946601
4/25/2021,147672977
4/26/2021,148355997
4/27/2021,149206925
4/28/2021,150112304
4/29/2021,151007762
4/30/2021,151891874
5/1/2021,152684510
5/2/2021,153361689
5/3/2021,154050812
5/4/2021,154853176
5/5/2021,155698689
5/6/2021,156567728
5/7/2021,157399418
5/8/2021,158186308
5/9/2021,158824007
5/10/2021,159450899
5/11/2021,160189018
5/12/2021,160948500
5/13/2021,161680978
5/14/2021,162390791
5/15/2021,163022078
5/16/2021,163569014
5/17/2021,164110485
5/18/2021,164734175
5/19/2021,165407030
5/20/2021,165688630
5/21/2021,166315322
5/22/2021,166886811
5/23/2021,167367268
5/24/2021,167818639
5/25/2021,168353343
5/26/2021,168922986
5/27/2021,169470298
5/28/2021,169975358
5/29/2021,170454728
5/30/2021,170844847
5/31/2021,171231654
6/1/2021,171693821
6/2/2021,172180113
6/3/2021,172661465
6/4/2021,173087125
6/5/2021,173483189
6/6/2021,173807333
6/7/2021,174129561
6/8/2021,174499683
6/9/2021,174918163
6/10/2021,175371593
6/11/2021,175793970
6/12/2021,176162235
6/13/2021,176465017
6/14/2021,176774448
6/15/2021,177152315
6/16/2021,177541418
6/17/2021,177937411
6/18/2021,178340888
6/19/2021,178686503
6/20/2021,178989726
6/21/2021,179288764
6/22/2021,179696976
6/23/2021,180096364
6/24/2021,180504975
6/25/2021,180922889
6/26/2021,181286101
6/27/2021,181596200
6/28/2021,181927723
6/29/2021,182308799
6/30/2021,182707821
7/1/2021,183145615
7/2/2021,183585397
7/3/2021,183961791
7/4/2021,184288370
7/5/2021,184662780
7/6/2021,185114903
7/7/2021,185575929
7/8/2021,186058435
7/9/2021,186566733
7/10/2021,186990783
7/11/2021,187359944
7/12/2021,187795198
7/13/2021,188318710
7/14/2021,188856562
7/15/2021,189432225
7/16/2021,190027664
7/17/2021,190518154
7/18/2021,190939982
7/19/2021,191427985
7/20/2021,191960264
7/21/2021,192517359
7/22/2021,193082453
7/23/2021,193811505
7/24/2021,194243496
7/25/2021,194690517
7/26/2021,195227240
7/27/2021,195835971
7/28/2021,196483009
7/29/2021,197128393
7/30/2021,197860686
7/31/2021,198377914
8/1/2021,198858979
8/2/2021,199432951
8/3/2021,200064008
8/4/2021,200745493
8/5/2021,201431996
8/6/2021,202250438
8/7/2021,202809948
8/8/2021,203278879
8/9/2021,203898532
8/10/2021,204544033
8/11/2021,205272207
8/12/2021,205981556
8/13/2021,206782410
8/14/2021,207333592
8/15/2021,207799880
8/16/2021,208465698
8/17/2021,209146258
8/18/2021,209881043
8/19/2021,210593189
8/20/2021,211377978
8/21/2021,211931836
8/22/2021,212382189
8/23/2021,213073716
8/24/2021,213759873
8/25/2021,214492197
8/26/2021,215231029
8/27/2021,215972097
8/28/2021,216530986
8/29/2021,216979220
8/30/2021,217646444
8/31/2021,218276946
9/1/2021,219002571
9/2/2021,219676043
9/3/2021,220393763
9/4/2021,220885795
9/5/2021,221333869
9/6/2021,221778005
9/7/2021,222478155
9/8/2021,223105165
9/9/2021,223749789
9/10/2021,224388699
9/11/2021,224854295
9/12/2021,225224481
9/13/2021,225810367
9/14/2021,226358439
9/15/2021,226930499
9/16/2021,227509516
9/17/2021,228128833
9/18/2021,228651969
9/19/2021,229016554
9/20/2021,229536140
9/21/2021,230016455
9/22/2021,230554045
9/23/2021,231091594
9/24/2021,231637874
9/25/2021,232012075
9/26/2021,232364547
9/27/2021,232821989
9/28/2021,233274572
9/29/2021,233773994
9/30/2021,234254966
10/1/2021,234770812
10/2/2021,235121676
10/3/2021,235431743
10/4/2021,235866874
10/5/2021,236286823
10/6/2021,236791275
10/7/2021,237235305
10/8/2021,237715606
10/9/2021,238054448
10/10/2021,238372429
10/11/2021,238746579
10/12/2021,239184055
10/13/2021,239634970
10/14/2021,240081218
10/15/2021,240537215
10/16/2021,240878395
10/17/2021,241192559
10/18/2021,241603437
10/19/2021,242046064
10/20/2021,242518039
10/21/2021,242974124
10/22/2021,243460071
10/23/2021,243824245
10/24/2021,244140344
10/25/2021,244566671
10/26/2021,245010747
10/27/2021,245525457
10/28/2021,245981975
10/29/2021,246489857
10/30/2021,246875039
10/31/2021,247197551
11/1/2021,247616683
11/2/2021,248038986
11/3/2021,248569605
11/4/2021,249090238
11/5/2021,249606778
11/6/2021,250033256
11/7/2021,250381000
11/8/2021,250857194
11/9/2021,251342787
11/10/2021,251922291
11/11/2021,252441695
11/12/2021,253037119
11/13/2021,253465760
11/14/2021,253820659
11/15/2021,254359567
11/16/2021,254884883
11/17/2021,255513523
11/18/2021,256127633
11/19/2021,256744664
11/20/2021,257226649
11/21/2021,257626179
11/22/2021,258246323
11/23/2021,258856453
11/24/2021,259529042
11/25/2021,260124955
11/26/2021,260720377
11/27/2021,261179145
11/28/2021,261587226
11/29/2021,262242291
11/30/2021,262868430
12/1/2021,263574605
12/2/2021,264280433
12/3/2021,264994581
12/4/2021,265506199
12/5/2021,265946530
12/6/2021,266542652
12/7/2021,267238222
12/8/2021,267906078
12/9/2021,268634462
12/10/2021,269321177
12/11/2021,269819944
12/12/2021,270263297
12/13/2021,270889422
12/14/2021,271547009
12/15/2021,272287381
12/16/2021,273024840
12/17/2021,273756639
12/18/2021,274336995
12/19/2021,274818834
12/20/2021,275566222
12/21/2021,276357147
12/22/2021,277258354
12/23/2021,278248864
12/24/2021,279093884
12/25/2021,279777852
12/26/2021,280375131
12/27/2021,281659093
12/28/2021,282978871
12/29/2021,284696526
12/30/2021,286633993
12/31/2021,288335323
1/1/2022,289514753
1/2/2022,290458926
1/3/2022,292883351
1/4/2022,295401488
1/5/2022,297962232
1/6/2022,300587060
1/7/2022,303518939
1/8/2022,305654158
1/9/2022,307671496
1/10/2022,310834537
1/11/2022,313713290
1/12/2022,317419339
1/13/2022,320309661
1/14/2022,323887251
1/15/2022,326318495
1/16/2022,328445640
1/17/2022,331181553
1/18/2022,334915183
1/19/2022,339134127
1/20/2022,342795496
1/21/2022,346636145
1/22/2022,349320573
1/23/2022,351725833
1/24/2022,355209424
1/25/2022,358930099
1/26/2022,362694520
1/27/2022,366365124
1/28/2022,369988033
1/29/2022,372594363
1/30/2022,374815359
1/31/2022,378433295
2/1/2022,381756438
2/2/2022,384944189
2/3/2022,388109962
2/4/2022,391129461
2/5/2022,393074526
